schema_version,manifest,rater_id,rater_item_index,item_id,source,attribute,attribute_name,n_levels,moss_level,moss_label,rater_level,rater_label,fit,flagged,flag_reason,is_quality_check,qc_expect,listens,ms_on_item
a3-audit-1,voiceclap-a3-audit,rater_1,1,A3-156,Majestrino,TENS,Tension,7,,"There is a persistent sense of muscular tightness in the vocal tract, with the voice sounding strained and constricted throughout.",2,"The speech perfectly mimics a highly dry, deeply academic lecture or the incredibly boring, strictly informative reading of a complex technical manual. The vocal delivery is completely objective, highly steady, and entirely devoid of any entertaining or dramatic flair. While the acoustic information is successfully transmitted, the deeply sterile tone actively discourages active listening.",fits,0,,0,,1,60282
a3-audit-1,voiceclap-a3-audit,rater_1,2,A3-109,LAION-Got-Talent,S_RANT,Ranting/Angry Style,7,3,"The delivery is highly energetic and fast-paced, resembling a rapid venting session with a continuous, rhythmic flow that effectively releases pent-up tension.",4,"The speech trajectory tracks a subtle, highly engaging 'perking up' of physiological alertness and rising bodily energy. The speaker sounds perceptibly more awake, highly interested, and physically engaged by the end of the phrase than they did at the exact beginning. The acoustic engine gently revs up, applying a light, highly active forward-moving pressure.",no,0,,0,,3,156452
a3-audit-1,voiceclap-a3-audit,rater_1,3,A3-284,Multilingual-Wild,HARM,Harmonicity,7,3,"The voice maintains a clear and stable pitch throughout, with a natural and consistent harmonic structure.",0,"The speaker is heavily stumbling and deeply confused, sounding exactly like a person painfully reading a highly complex text out loud for the very first time. The delivery is completely ruined by severe mispronunciations, highly awkward, completely unnatural pauses, and a total lack of forward narrative momentum. The acoustic flow is deeply broken, completely failing to guide the listener through the story.",fits,0,,0,,2,71199
a3-audit-1,voiceclap-a3-audit,rater_1,4,A3-186,Majestrino,R_HEAD,Head Resonance,7,4,"The voice carries a delicate, floating quality, with a noticeable lift in the upper harmonics that gives it a light and airy texture.",1,"The vocal delivery perfectly captures completely natural, entirely unremarkable standard human speech, entirely devoid of any artificial 'put-on' characterizations or highly exaggerated acoustic traits. The resonance, pitch, and rhythm are completely biologically standard, producing a highly functional, deeply typical audio signal. The voice sounds exactly like a completely normal person speaking in a completely normal environment.",partial,0,,0,,1,57300
a3-audit-1,voiceclap-a3-audit,rater_1,5,A3-266,Multilingual-Wild,CHNK,Chunking,7,,"The speaker groups words into short, controlled phrases with brief, intentional pauses between them.",2,"The acoustic output strongly resembles a theatrical soliloquy; the speaker is clearly thinking out loud, but is completely unconcerned with whether another person is actually listening. The intonation is highly internal and slightly wandering, lacking the sharp, outward-facing projection required to actively engage a conversational partner. The audio feels highly personal but distinctly disconnected.",fits,0,,0,,1,30982
a3-audit-1,voiceclap-a3-audit,rater_1,6,A3-218,Majestrino,R_CHST,Chest Resonance,7,4,"The voice carries a deep, resonant warmth that vibrates strongly in the chest, giving it a grounded and full-bodied quality.",1,"The vocal delivery perfectly captures completely natural, entirely unremarkable standard human speech, entirely devoid of any artificial 'put-on' characterizations or highly exaggerated acoustic traits. The resonance, pitch, and rhythm are completely biologically standard, producing a highly functional, deeply typical audio signal. The voice sounds exactly like a completely normal person speaking in a completely normal environment.",fits,0,,0,,3,37999
a3-audit-1,voiceclap-a3-audit,rater_1,7,A3-115,LAION-Got-Talent,AGEV,Voice Age,7,4,"The vocal characteristics suggest a speaker in her late twenties to early thirties, with a fully mature but still agile vocal tract.",4,"The acoustic signature reflects a fully developed, mature adult, characterized by a highly settled, grounded, and authoritative resonant weight. The vocal folds exhibit a very slight, natural thickening, which adds a warm, robust low-mid frequency presence to the audio. The overall physical support is incredibly stable, projecting a commanding and complete spectral profile.",fits,0,,0,,1,31515
a3-audit-1,voiceclap-a3-audit,rater_1,8,A3-285,Multilingual-Wild,VALS,Valence Shift,7,3,"The emotional tone remains neutral and informative from start to finish, with no noticeable change in valence.",4,"The affective trajectory traces a subtle, highly encouraging brightening of the emotional state, gently shifting towards a distinctly positive resolution. A highly perceptible hint of a smile, deep relief, or renewed optimism gracefully appears at the very end of the acoustic phrase. It sounds exactly like the sun gently breaking through heavy, oppressive emotional clouds.",no,0,,0,,2,61382
a3-audit-1,voiceclap-a3-audit,rater_1,9,A3-212,Majestrino,DFLU,Disfluency,7,0,"There are no fillers, hesitations, or self-corrections, resulting in a perfectly smooth and uninterrupted flow.",1,"The delivery is highly polished and professional, containing perhaps only a single, negligible micro-hesitation in a long stream of speech. The linguistic output is exceptionally clean, indicating a highly prepared and focused speaker. There is almost no acoustic junk interrupting the primary message.",fits,0,,0,,1,34349
a3-audit-1,voiceclap-a3-audit,rater_1,10,A3-260,Multilingual-Wild,STNC,Stance,7,5,"The delivery is forceful and commanding, with a loud, projected voice that dominates the acoustic space, leaving no room for the listener to respond.",1,"The audio features a very reserved, cautious, and quiet delivery that respectfully waits for long silences before initiating sound. The phrase endings are deeply softened and drop in volume, indicating a distinct hesitation to claim the conversational floor. It is a highly guarded, socially deferential acoustic posture.",partial,0,,0,,1,29464
a3-audit-1,voiceclap-a3-audit,rater_1,11,A3-160,Majestrino,S_CART,Cartoonish Style,7,,"The voice is a highly exaggerated, cartoonish caricature with impossible pitch jumps, percussive pops, and piercing whistles that defy human vocal limits.",1,"The vocal delivery perfectly captures completely natural, entirely unremarkable standard human speech, entirely devoid of any artificial 'put-on' characterizations or highly exaggerated acoustic traits. The resonance, pitch, and rhythm are completely biologically standard, producing a highly functional, deeply typical audio signal. The voice sounds exactly like a completely normal person speaking in a completely normal environment.",no,0,,0,,1,28467
a3-audit-1,voiceclap-a3-audit,rater_1,12,A3-299,Multilingual-Wild,S_MONO,Monologue Style,7,0,"The speaker is engaged in a dialogue, responding to the other person and showing active interaction rather than speaking in isolation.",0,"The speech is an incredibly active, highly engaged, and deeply interactive dialogue, featuring a speaker distinctly talking directly to a partner, actively waiting for answers, and highly focused on reading facial cues. The vocal tone is completely outward-facing, highly social, and entirely dependent on the continuous acoustic and emotional feedback of the listener. The audio is the absolute, highly collaborative antithesis of an isolated monologue.",fits,0,,0,,1,20065
a3-audit-1,voiceclap-a3-audit,rater_1,13,A3-208,Majestrino,S_DRAM,Dramatic Style,7,0,"The delivery is completely flat and devoid of any emotional expression, sounding like a person reading a list of facts without any engagement.",0,"The delivery is incredibly deadpan, heavily bored, and completely devoid of any emotional affect, sounding exactly like a person falling asleep while reading a mundane grocery list. The speaker actively suppresses any dramatic instinct, maintaining a highly flat, violently uninteresting acoustic profile regardless of the actual words being spoken. The audio is the absolute, unyielding antithesis of theatrical performance.",fits,0,,0,,1,23149
a3-audit-1,voiceclap-a3-audit,rater_1,14,A3-050,EMOLIA-BAL,TENS,Tension,7,3,"There is a faint but perceptible tension in the vocal tract, giving the voice a slightly constricted and strained quality.",3,"A faint acoustic 'edge' or mild muscular squeeze becomes audible, indicating a subtle tightening of the neck or jaw muscles. This mild tension profile often suggests a speaker who is deeply concentrating, slightly annoyed, or operating under minor psychological stress. The voice loses a fraction of its natural warmth due to this slight physical constriction.",fits,0,,0,,1,48249
a3-audit-1,voiceclap-a3-audit,rater_1,15,A3-C03,LAION-Got-Talent,S_CART,Cartoonish Style,7,6,"The speech transforms into a complex, impossible sound effect with violent pops, piercing whistles, and extreme vocal manipulation.",3,"The speech perfectly embodies a highly distinctive, deeply animated sitcom character voice that is entirely unique but still strictly bound by the acoustic physics of the human vocal tract. The speaker utilizes highly consistent, distinctly stylized vowel shapes or a highly specific, deeply recognizable pitch placement that instantly defines the character's persona. The delivery is highly professional, deeply colorful, and functionally grounded.",no,0,,1,reject,1,36748
a3-audit-1,voiceclap-a3-audit,rater_1,16,A3-234,Multilingual-Wild,S_CONV,Conversational Style,7,0,"The delivery is a rigid, aggressive monologue with no gaps for response, resembling a wall of sound.",2,"The acoustic output strongly resembles a theatrical soliloquy; the speaker is clearly thinking out loud, but is completely unconcerned with whether another person is actually listening. The intonation is highly internal and slightly wandering, lacking the sharp, outward-facing projection required to actively engage a conversational partner. The audio feels highly personal but distinctly disconnected.",partial,0,,0,,1,22627
a3-audit-1,voiceclap-a3-audit,rater_1,17,A3-002,EMOLIA-BAL,S_MONO,Monologue Style,7,2,"The monologue is introspective and detached, with a tone that suggests the speaker is thinking aloud without concern for the listener's immediate understanding.",2,"The acoustic profile captures a highly casual, completely unstructured moment of a person simply thinking out loud or gently reflecting while actively working on a physical task. The speaker's volume is slightly lowered, and the vocal tone is highly wandering, indicating that they are technically speaking to themselves but without any deep, highly emotional introspection. The delivery is highly natural, deeply mundane, and completely un-dramatic.",fits,0,,0,,1,41912
a3-audit-1,voiceclap-a3-audit,rater_1,18,A3-191,Majestrino,VFLX,Velocity Flux,7,3,"The pace of the speech remains steady and consistent throughout, with no noticeable acceleration or deceleration.",5,"The audio begins at a noticeably slow, deliberate pace and captures a clear, sustained acceleration across the full duration, with the speaker audibly speeding up from roughly 0.7x to 1.3x normal speed. The acoustic rhythm compresses progressively as the phrase progresses, driven by an escalating surge of energy or urgency. The temporal vector is distinctly forward-thrusting with an obvious speed buildup.",fits,0,,0,,1,25812
a3-audit-1,voiceclap-a3-audit,rater_1,19,A3-017,EMOLIA-BAL,AROU,Arousal,7,,"The arousal level remains extremely high, with a fast, energetic pace and dynamic vocal intensity that conveys urgency and enthusiasm.",3,"The audio captures the standard, baseline physiological energy level of a fully alert human engaged in a normal conversation. The speaker sounds entirely present, utilizing a healthy, balanced physical force that perfectly matches the conversational context. The autonomic nervous system is active, stable, and completely unexceptional.",partial,0,,0,,1,73427
